Work Day,Group,Division,Actual $
01/16/2018,Construction & Energy,GAI-Tronics - US,152892
01/16/2018,Construction & Energy,Hawke - UK,74025
01/16/2018,Construction & Energy,Hubbell Canada,256557
01/16/2018,Construction & Energy,Hubbell Products Mexico,94727
01/16/2018,Construction & Energy,Hubbell Scotland,63519
01/16/2018,Construction & Energy,Killark,458863
01/16/2018,Construction & Energy,Lyall,1225000
01/16/2018,Hubbell Lighting,C & I,2324507
01/16/2018,Hubbell Lighting,Residential,877800
01/16/2018,Integrated Solutions,Integrated Solutions,2789
01/16/2018,Power Systems,Aiken - Arresters,281337
01/16/2018,Power Systems,Aiken - Cable Acc,89806
01/16/2018,Power Systems,Aiken - Insulator,96094
01/16/2018,Power Systems,Civil & Construction,735340
01/16/2018,Power Systems,Connectors,924478
01/16/2018,Power Systems,EMC,34737
01/16/2018,Power Systems,Enclosures,674606
01/16/2018,Power Systems,HPS Brazil,18000
01/16/2018,Power Systems,HPS China,19300
01/16/2018,Power Systems,Switching Fusing,854105
01/16/2018,Power Systems,Tools and Equipment,350963
01/16/2018,Power Systems,Total Bushings,613826
01/16/2018,Power Systems,Utility Automation,202816
01/17/2018,Commercial & Industrial,ACME,128397
01/17/2018,Commercial & Industrial,Gleason Reel,91167
01/17/2018,Commercial & Industrial,Haefely,56682
01/17/2018,Commercial & Industrial,Hipotronics,41556
01/17/2018,Commercial & Industrial,Industrial Controls,385564
01/17/2018,Commercial & Industrial,Raco/TayMac,947152
01/17/2018,Commercial & Industrial,WBP,1994869
01/17/2018,Commercial & Industrial,Wiegmann,200500
01/17/2018,Construction & Energy,Austdac,53815
01/17/2018,Construction & Energy,Burndy - US,846353
01/17/2018,Construction & Energy,CMC,154956
01/17/2018,Construction & Energy,Continental Industries,295000
01/17/2018,Construction & Energy,GAI-Tronics - UK,39136
01/17/2018,Construction & Energy,GAI-Tronics - US,83413
01/17/2018,Construction & Energy,Hawke - UK,100314
01/17/2018,Construction & Energy,Hubbell Canada,439663
01/17/2018,Construction & Energy,Hubbell Products Mexico,119594
01/17/2018,Construction & Energy,Hubbell Scotland,71131
01/17/2018,Construction & Energy,Killark,-215012
01/17/2018,Construction & Energy,Lyall,722000
