Calendar Day,Group,Profit Center Group,Gross Order $
02/11/2018,Hubbell Lighting,Security Lighting,163000.7
02/11/2018,Hubbell Lighting,Thomas,202794.38
02/11/2018,Power Systems,Above Ground,187409.62
02/11/2018,Power Systems,Blocks,0
02/11/2018,Power Systems,Civil,676579.89
02/11/2018,Power Systems,Cutouts  Polymer,1027629.24
02/11/2018,Power Systems,Cutouts  Porcelain,434252.06
02/11/2018,Power Systems,Dist Automation,596515.79
02/11/2018,Power Systems,Distribution Arresters,962854.18
02/11/2018,Power Systems,Distribution Connectors,1625110.49
02/11/2018,Power Systems,Distribution Insulators,192451.35
02/11/2018,Power Systems,Drain,26909.9
02/11/2018,Power Systems,Electro Composites,102928.45
02/11/2018,Power Systems,Fiber & Cable Accessories,486664.05
02/11/2018,Power Systems,Fiber Splice Products,41002.21
02/11/2018,Power Systems,Fiberglass Construction,216040.07
02/11/2018,Power Systems,Fuse Links,62911.1
02/11/2018,Power Systems,Gloves,66996.45
02/11/2018,Power Systems,HotBox,186948.31
02/11/2018,Power Systems,HPS Shanghai,494362.14
02/11/2018,Power Systems,OVHD Switches,603289.89
02/11/2018,Power Systems,PCORE,1324077
02/11/2018,Power Systems,PenCell,586015
02/11/2018,Power Systems,Pole Line Hardware,1754481.15
02/11/2018,Power Systems,Power Load,28132.99
02/11/2018,Power Systems,Resale,214611.6
02/11/2018,Power Systems,Reuel,67784.68
02/11/2018,Power Systems,Sub Automation,333766.67
02/11/2018,Power Systems,Substation Connectors,437892.71
02/11/2018,Power Systems,Substation HC Arresters,215237.37
02/11/2018,Power Systems,Substation SC Arresters,207172.76
02/11/2018,Power Systems,Substation Switches,404322.59
02/11/2018,Power Systems,Traditional Tools,600418.47
02/11/2018,Power Systems,Transmission Arresters,56141.13
02/11/2018,Power Systems,Transmission Connectors,1005770.16
02/11/2018,Power Systems,Transmission Insulators,1384632.13
02/11/2018,Power Systems,Turner Electric,239903.31
02/11/2018,Power Systems,Under Ground,3330948.62
02/11/2018,Power Systems,URD Accessories,333142.95
02/11/2018,Power Systems,URD Arresters,153014.33
02/11/2018,Power Systems,Utility Anchors,1614736.77
02/18/2018,Commercial & Industrial,ACME,1436938.52
02/18/2018,Commercial & Industrial,Bryant Electric,259886.56
02/18/2018,Commercial & Industrial,Gleason Reel,828527.83
02/18/2018,Commercial & Industrial,Hipotronics,689678.54
02/18/2018,Commercial & Industrial,ICD,1367879.73
02/18/2018,Commercial & Industrial,Premise Wiring,1223049.08
02/18/2018,Commercial & Industrial,RACO,4640812.62
02/18/2018,Commercial & Industrial,WDK,8037859.13
02/18/2018,Commercial & Industrial,Wiegmann,1006184.44
02/18/2018,Construction & Energy,Burndy - MX,813115.92
02/18/2018,Construction & Energy,Burndy - US,5467376.51
02/18/2018,Construction & Energy,CMC,1247581.49
02/18/2018,Construction & Energy,Continental Industries,0
02/18/2018,Construction & Energy,GAI-Tronics - US,1078280.06
02/18/2018,Construction & Energy,Gai-Tronics Italy,0
02/18/2018,Construction & Energy,GAI-Tronics UK,617171.68
02/18/2018,Construction & Energy,Hawke - UK,280840.45
02/18/2018,Construction & Energy,Hawke - US,135414.31
02/18/2018,Construction & Energy,Hubbell Canada,2367183.79
02/18/2018,Construction & Energy,Hubbell Scotland,503568.63
02/18/2018,Construction & Energy,Killark,1661736.76
02/18/2018,Construction & Energy,RigPower Connectors,4910.85
02/18/2018,Hubbell Lighting,AAL,310289.95
02/18/2018,Hubbell Lighting,Alera,73109.99
02/18/2018,Hubbell Lighting,Beacon,1143137.93
02/18/2018,Hubbell Lighting,Columbia,4030586.43
02/18/2018,Hubbell Lighting,Dual-Lite,1231455.64
02/18/2018,Hubbell Lighting,Hubbell Control Solutions,625562.31
02/18/2018,Hubbell Lighting,Industrial Lighting,212615.07
02/18/2018,Hubbell Lighting,Kim,666124.35
02/18/2018,Hubbell Lighting,Kurt Versen,138956.46
02/18/2018,Hubbell Lighting,Litecontrol,628778.45
02/18/2018,Hubbell Lighting,Norlux,358686.7
02/18/2018,Hubbell Lighting,Outdoor,1196937.35
02/18/2018,Hubbell Lighting,P2,0
02/18/2018,Hubbell Lighting,Prescolite,856871.6
