Calendar Day,Group,Company Code,Gross Order $
05/13/2018,Construction & Energy,C460,312852.64
05/13/2018,Commercial & Industrial,C710,99679.38
05/13/2018,Power Systems,C627,230752.16
05/13/2018,Construction & Energy,C792,0.00
05/13/2018,Power Systems,C615,10260.14
05/13/2018,Commercial & Industrial,C750,549343.14
05/13/2018,Power Systems,C625,30090.15
05/13/2018,Commercial & Industrial,C300,10067405.04
05/13/2018,Hubbell Lighting,C520,5242907.27
05/13/2018,Construction & Energy,C794,455731.32
05/13/2018,Hubbell Lighting,C510,12474954.93
05/13/2018,Construction & Energy,C360,5892571.58
05/13/2018,Commercial & Industrial,C400,7007032.01
05/13/2018,Construction & Energy,C400,2093594.50
05/13/2018,Construction & Energy,C351,3280405.57
05/13/2018,Commercial & Industrial,C740,1103350.89
05/13/2018,Power Systems,C650,626623.36
05/13/2018,Construction & Energy,C362,491151.48
05/13/2018,Power Systems,C640,4955813.11
05/13/2018,Construction & Energy,C450,490135.21
05/20/2018,Commercial & Industrial,C750,736078.38
05/20/2018,Hubbell Lighting,C520,6052678.51
05/20/2018,Power Systems,C610,18724397.24
05/20/2018,Power Systems,C650,1206982.50
05/20/2018,Power Systems,C625,50791.38
05/20/2018,Hubbell Lighting,C510,15646216.00
05/20/2018,Construction & Energy,C370,1167749.63
05/20/2018,Construction & Energy,C362,658484.82
05/20/2018,Hubbell Lighting,C550,858844.87
05/20/2018,Construction & Energy,C720,446577.22
05/20/2018,Construction & Energy,C460,339960.28
05/20/2018,Construction & Energy,C792,0.00
05/20/2018,Commercial & Industrial,C400,6713579.68
05/20/2018,Power Systems,C640,4480558.20
05/20/2018,Construction & Energy,C450,750449.40
05/20/2018,Power Systems,C660,127884.05
05/20/2018,Power Systems,C627,257290.65
05/20/2018,Commercial & Industrial,C740,887862.03
05/20/2018,Commercial & Industrial,C300,9517359.41
05/20/2018,Construction & Energy,C400,1605795.98
05/20/2018,Power Systems,C615,55445.64
05/20/2018,Construction & Energy,C360,5811825.48
05/20/2018,Construction & Energy,C366,1212714.45
05/20/2018,Construction & Energy,C794,274408.58
05/20/2018,Commercial & Industrial,C710,94972.92
05/20/2018,Commercial & Industrial,C715,139712.60
05/20/2018,Construction & Energy,C351,3240777.67
05/27/2018,Hubbell Lighting,C510,13885845.18
05/27/2018,Power Systems,C640,4223582.53
05/27/2018,Construction & Energy,C720,449281.77
05/27/2018,Construction & Energy,C360,5981751.97
05/27/2018,Hubbell Lighting,C550,773971.99
05/27/2018,Commercial & Industrial,C300,11404971.76
05/27/2018,Construction & Energy,C351,1873203.37
05/27/2018,Construction & Energy,C400,1537957.62
05/27/2018,Commercial & Industrial,C750,530276.90
05/27/2018,Power Systems,C625,338338.64
05/27/2018,Construction & Energy,C794,307798.48
05/27/2018,Construction & Energy,C792,0.00
05/27/2018,Commercial & Industrial,C715,3419096.09
05/27/2018,Commercial & Industrial,C740,1085911.79
05/27/2018,Commercial & Industrial,C400,6726104.36
05/27/2018,Power Systems,C627,163353.60
05/27/2018,Power Systems,C660,232054.35
05/27/2018,Construction & Energy,C460,893031.43
05/27/2018,Construction & Energy,C366,1288874.93
05/27/2018,Power Systems,C615,140572.07
05/27/2018,Hubbell Lighting,C520,4857598.51
05/27/2018,Construction & Energy,C370,1358265.60
05/27/2018,Construction & Energy,C450,638917.79
05/27/2018,Construction & Energy,C362,540694.49
05/27/2018,Power Systems,C610,19308450.34
05/27/2018,Power Systems,C650,963948.71
05/27/2018,Commercial & Industrial,C710,338544.23
06/03/2018,Power Systems,C627,290287.59
06/03/2018,Construction & Energy,C794,530009.83
06/03/2018,Commercial & Industrial,C710,307245.42
06/03/2018,Construction & Energy,C792,0.00
06/03/2018,Construction & Energy,C360,5029969.19
06/03/2018,Construction & Energy,C720,852826.93
06/03/2018,Commercial & Industrial,C400,5914540.76
06/03/2018,Commercial & Industrial,C750,541314.16
06/03/2018,Power Systems,C640,3060009.78
06/03/2018,Hubbell Lighting,C510,13885182.45
06/03/2018,Power Systems,C650,657988.59
06/03/2018,Construction & Energy,C370,1247735.17
06/03/2018,Hubbell Lighting,C550,845013.69
06/03/2018,Construction & Energy,C450,834906.70
06/03/2018,Power Systems,C660,81415.10
06/03/2018,Commercial & Industrial,C300,8764569.01
06/03/2018,Commercial & Industrial,C740,980911.02
06/03/2018,Commercial & Industrial,C715,463843.87
06/03/2018,Construction & Energy,C460,250929.90
06/03/2018,Power Systems,C625,44509.10
06/03/2018,Construction & Energy,C366,1289084.49
06/03/2018,Hubbell Lighting,C520,5846202.92
